iter	RMSE
0	0.8971787015
1	0.868700763
2	0.8432230608
3	0.8202424375
4	0.7989814479
5	0.7787665946
6	0.7589535868
7	0.7398825392
8	0.7242657021
9	0.7096062398
10	0.695119683
11	0.6824329847
12	0.6706880747
13	0.6576517767
14	0.6461383688
15	0.6371523255
16	0.6282079392
17	0.6189713409
18	0.6117382593
19	0.6036710341
20	0.5949609636
21	0.5887866562
22	0.5833125647
23	0.5747739309
24	0.5678803447
25	0.5614996893
26	0.5570548075
27	0.5526323135
28	0.5460237124
29	0.5419168693
30	0.5360572024
31	0.5320381103
32	0.5268065705
33	0.5224494406
34	0.5182325796
35	0.5136998626
36	0.5106764432
37	0.5081202113
38	0.5051012236
39	0.5012808302
40	0.4983591239
41	0.496389323
42	0.4929462901
43	0.4900596364
44	0.4870113069
45	0.4843701109
46	0.4819679101
47	0.479785176
48	0.478037795
49	0.476303772
50	0.4746910831
51	0.4723438448
52	0.4699920697
53	0.4678675548
54	0.466633381
55	0.4654179839
56	0.463419922
57	0.4617565816
58	0.4603019276
59	0.4587299539
60	0.457179027
61	0.4558141647
62	0.4545998269
63	0.4534263186
64	0.4519806311
65	0.45106013
66	0.4497095779
67	0.4486720677
68	0.44764966
69	0.4465747462
70	0.4454800672
71	0.4446104847
72	0.4437279741
73	0.4429892981
74	0.4419461576
75	0.4408561377
76	0.440168092
77	0.4393600341
78	0.438355358
79	0.4376114441
80	0.4370105521
81	0.4360430726
82	0.4350576358
83	0.4341983679
84	0.433543794
85	0.4328080061
86	0.4321699314
87	0.431759738
88	0.4311811351
89	0.4304934676
90	0.4300110903
91	0.4291860331
92	0.4284643956
93	0.427802437
94	0.4272412945
95	0.4267679221
96	0.4263168363
97	0.425740107
98	0.4250844547
99	0.4245160771
100	0.4241498467
101	0.423437058
102	0.4228211227
103	0.4221876157
104	0.4215642567
105	0.4208957771
106	0.4205178595
107	0.4199476615
108	0.4194282831
109	0.4187164554
110	0.418094325
111	0.417736608
112	0.4171459483
113	0.4165233477
114	0.4160464068
115	0.4155933964
116	0.4152441081
117	0.4147844924
118	0.4143457561
119	0.4138970975
120	0.4134404722
121	0.413030731
122	0.4128060142
123	0.412445664
124	0.4119909659
125	0.4116776051
126	0.4111751135
127	0.4108016846
128	0.4104935419
129	0.4101548313
130	0.4097774342
131	0.4093951967
132	0.4089975001
133	0.4085604372
134	0.408181207
135	0.407852668
136	0.4076862033
137	0.4073881692
138	0.4070266414
139	0.4068326351
140	0.4063692533
141	0.4058970823
142	0.4056818543
143	0.40546308
144	0.404928781
145	0.4045886503
146	0.4042784492
147	0.4039351517
148	0.4036010997
149	0.4031761111
150	0.4029389711
151	0.4026526019
152	0.402422737
153	0.4021219757
154	0.4019294489
155	0.4015801715
156	0.4012606275
157	0.4009514238
158	0.4006951154
159	0.4003657792
160	0.4000704284
161	0.3997488021
162	0.39953346
163	0.3991993737
164	0.3990744908
165	0.3987477754
166	0.3985379571
167	0.398456944
168	0.3981299262
169	0.3976644257
170	0.3973756684
171	0.3971034243
172	0.3969412674
173	0.396586735
174	0.3963321624
175	0.3959629242
176	0.3956699018
177	0.3953293392
178	0.3950802595
179	0.3947476614
180	0.3944227264
181	0.3942066012
182	0.393992836
183	0.3937062848
184	0.3934168978
185	0.3933629257
186	0.3930251471
187	0.3926618148
188	0.3924282959
189	0.3923077297
190	0.3920377163
191	0.3919292601
192	0.3917927545
193	0.3915390763
194	0.3913277221
195	0.3911665413
196	0.3910824821
197	0.3908699649
198	0.3907035338
199	0.3906402497
200	0.390359368
201	0.3900225771
202	0.3900066773
203	0.3898322163
204	0.3895693444
205	0.3894408092
206	0.3891243048
207	0.3889409114
208	0.3887079626
209	0.3884352792
210	0.3883523891
211	0.3882606991
212	0.388028831
213	0.3878598799
214	0.3876042576
215	0.3873502525
216	0.3870754142
217	0.386806461
218	0.3864858621
219	0.3861482218
220	0.3857430136
221	0.3855302127
222	0.3853532394
223	0.3853388153
224	0.385324792
225	0.3851984109
226	0.3848997308
227	0.38456438
228	0.3844342138
229	0.3841575011
230	0.3839141462
231	0.3836389675
232	0.3834172095
233	0.3831385729
234	0.3828584156
235	0.3826353757
236	0.3824714467
237	0.3822863306
238	0.3819312987
239	0.3817502055
240	0.3817304222
241	0.3814206841
242	0.3812048727
243	0.3809243614
244	0.3806011598
245	0.3803985326
246	0.3801450647
247	0.3799171759
248	0.3797290144
249	0.379716134
250	0.3793800195
251	0.3792282674
252	0.3789336867
253	0.3788022301
254	0.3787111934
255	0.3783169924
256	0.3780234023
257	0.3779305199
258	0.3778277284
259	0.3776518433
260	0.3774063634
261	0.3773842176
262	0.3771314426
263	0.3768258286
264	0.3767098389
265	0.3765542876
266	0.3762739212
267	0.3760716026
268	0.3760567359
269	0.3760213305
270	0.3759505964
271	0.3758089365
272	0.3755368986
273	0.3752713862
274	0.3749681844
275	0.3748923022
276	0.3745834492
277	0.3743234131
278	0.3741739165
279	0.3738827323
280	0.3736071355
281	0.3734705791
282	0.3732921832
283	0.3731768398
284	0.3730864371
285	0.3729576982
286	0.3727363318
287	0.3724927249
288	0.3722592553
289	0.372076976
290	0.3718144646
291	0.3715568711
292	0.3713333766
293	0.3710656239
294	0.3707878015
295	0.3705778761
296	0.370331355
297	0.3700124928
298	0.3697250307
299	0.3695331549
300	0.3693327405
301	0.3691504711
302	0.3688902342
303	0.3685997001
304	0.3683476906
305	0.3680683694
306	0.3680278283
307	0.368016993
308	0.3679255437
309	0.3677321205
310	0.367706039
311	0.3674584439
312	0.3672303167
313	0.3669206034
314	0.3666685162
315	0.3664769277
316	0.3661812787
317	0.3661710888
318	0.3659871671
319	0.3657898711
320	0.3657025937
321	0.36569278
322	0.3654583621
323	0.3652661612
324	0.3652354807
325	0.3649875698
326	0.3649560186
327	0.3648176628
328	0.3647806646
329	0.3645217508
330	0.3643377335
331	0.3640585546
332	0.3638822202
333	0.3637349318
334	0.3635858714
335	0.363340049
336	0.3631598027
337	0.3629880874
338	0.3627375299
339	0.362436327
340	0.3624054632
341	0.3622903376
342	0.3621685918
343	0.362154042
344	0.3619290246
345	0.3618859292
346	0.3616693181
347	0.3615051115
348	0.3613128122
349	0.3612752523
350	0.361173027
351	0.3609740129
352	0.3608715443
353	0.3606793697
354	0.3606101848
355	0.3604205691
356	0.3602224609
357	0.3599368796
358	0.359624766
359	0.3596094344
360	0.3594920892
361	0.359316945
362	0.3590365594
363	0.3588436516
364	0.358637638
365	0.358327595
366	0.3580752879
367	0.3579004964
368	0.3578919922
369	0.3576728485
370	0.3575239694
371	0.3572520971
372	0.3571569914
373	0.3569635808
374	0.3568899018
375	0.3565999287
376	0.3563681616
377	0.3561511079
378	0.3559193115
379	0.3556871811
380	0.3554366629
381	0.3552666894
382	0.355027737
383	0.3549120068
384	0.3546412415
385	0.3545490162
386	0.3543526319
387	0.3541031116
388	0.3540056313
389	0.3537391185
390	0.3536506965
391	0.353429395
392	0.3531903747
393	0.3530225584
394	0.3528975
395	0.3527585557
396	0.352564625
397	0.3523582661
398	0.3522021149
399	0.3520601224
400	0.3518244626
401	0.3517832756
402	0.351691481
403	0.3515378811
404	0.3514779065
405	0.3513911967
406	0.3511611135
407	0.3508952928
408	0.3508200262
409	0.3507037544
410	0.350543442
411	0.3503297019
412	0.3501525082
413	0.3499140985
414	0.3496612944
415	0.3494803853
416	0.3493320449
417	0.3491869043
418	0.3489277894
419	0.3487059644
420	0.3485303851
421	0.3483363783
422	0.3482236124
423	0.3480493564
424	0.3478187939
425	0.3475957227
426	0.3473379863
427	0.3473291064
428	0.347274861
429	0.3470482863
430	0.3469365209
431	0.3467057817
432	0.3464737497
433	0.3462933726
434	0.3462154719
435	0.3461146768
436	0.345940417
437	0.345894565
438	0.3458627309
439	0.3456808932
440	0.3455231494
441	0.3453746056
442	0.3452798109
443	0.3451265171
444	0.3450660768
445	0.3448759967
446	0.3448104028
447	0.3446353773
448	0.3444843246
449	0.3443288923
450	0.3441889598
451	0.3439614643
452	0.3438277848
453	0.3435969475
454	0.343359378
455	0.3432231521
456	0.3430917585
457	0.3430113631
458	0.3428414129
459	0.3426178207
460	0.3425743152
461	0.3425532553
462	0.3423336945
463	0.3420418854
464	0.3419206175
465	0.3417973065
466	0.3417370394
467	0.3415055991
468	0.3412834686
469	0.341194657
470	0.3410244218
471	0.3408602255
472	0.3406929166
473	0.3405688863
474	0.3403092836
475	0.3401471467
476	0.3400004428
477	0.3398490062
478	0.3397352078
479	0.3394787312
480	0.3392574924
481	0.3391041401
482	0.3390542434
483	0.3388344687
484	0.3386803482
485	0.3384680008
486	0.338241698
