iter	Passed	Remaining
0	156	125282
1	280	111799
2	332	88374
3	384	76603
4	437	69615
5	483	64003
6	524	59382
7	563	55825
8	602	52947
9	645	51012
10	687	49283
11	730	47958
12	774	46863
13	815	45764
14	853	44686
15	895	43859
16	935	43083
17	973	42300
18	1017	41842
19	1061	41385
20	1097	40699
21	1139	40310
22	1184	40005
23	1224	39585
24	1265	39217
25	1317	39235
26	1367	39152
27	1409	38874
28	1454	38673
29	1494	38361
30	1538	38152
31	1579	37902
32	1625	37779
33	1666	37535
34	1712	37431
35	1761	37388
36	1797	37072
37	1841	36918
38	1876	36615
39	1925	36586
40	1960	36291
41	2000	36107
42	2046	36030
43	2083	35791
44	2128	35714
45	2166	35512
46	2207	35374
47	2248	35230
48	2289	35085
49	2333	35004
50	2376	34907
51	2418	34784
52	2456	34619
53	2501	34555
54	2535	34340
55	2572	34173
56	2620	34155
57	2662	34056
58	2699	33910
59	2748	33900
60	2794	33855
61	2841	33817
62	2884	33740
63	2924	33628
64	2966	33544
65	3007	33442
66	3047	33341
67	3091	33280
68	3128	33143
69	3165	33013
70	3202	32886
71	3235	32714
72	3281	32679
73	3318	32552
74	3357	32452
75	3396	32360
76	3433	32240
77	3478	32195
78	3521	32136
79	3563	32075
80	3602	31978
81	3648	31943
82	3691	31893
83	3737	31856
84	3778	31786
85	3822	31737
86	3860	31639
87	3898	31540
88	3934	31434
89	3977	31378
90	4016	31291
91	4065	31285
92	4114	31279
93	4162	31260
94	4203	31192
95	4242	31114
96	4279	31013
97	4315	30915
98	4366	30919
99	4412	30888
100	4453	30818
101	4503	30818
102	4555	30829
103	4599	30780
104	4642	30730
105	4693	30731
106	4732	30651
107	4776	30606
108	4824	30585
109	4877	30594
110	4924	30565
111	4965	30503
112	5018	30508
113	5067	30491
114	5105	30410
115	5145	30338
116	5188	30290
117	5226	30205
118	5275	30190
119	5318	30135
120	5356	30057
121	5402	30025
122	5440	29945
123	5490	29932
124	5544	29942
125	5585	29876
126	5633	29853
127	5680	29824
128	5722	29764
129	5765	29713
130	5809	29669
131	5853	29624
132	5900	29591
133	5950	29573
134	5999	29554
135	6043	29507
136	6078	29417
137	6119	29356
138	6167	29326
139	6202	29239
140	6248	29206
141	6300	29196
142	6337	29115
143	6375	29045
144	6423	29015
145	6468	28975
146	6522	28974
147	6589	29029
148	6635	28993
149	6687	28978
150	6725	28907
151	6771	28867
152	6809	28794
153	6858	28768
154	6892	28683
155	6941	28656
156	6991	28632
157	7035	28587
158	7078	28537
159	7125	28502
160	7173	28470
161	7220	28437
162	7257	28363
163	7303	28321
164	7337	28239
165	7387	28214
166	7428	28155
167	7460	28065
168	7507	28029
169	7560	28018
170	7605	27974
171	7646	27919
172	7683	27848
173	7727	27800
174	7767	27740
175	7816	27712
176	7865	27683
177	7913	27651
178	7947	27570
179	7989	27520
180	8034	27476
181	8075	27419
182	8114	27358
183	8155	27303
184	8203	27272
185	8235	27185
186	8284	27156
