iter	RMSE
0	0.9014194054
1	0.8611300404
2	0.8267094012
3	0.798890688
4	0.7693875892
5	0.741378012
6	0.7187549373
7	0.6952497147
8	0.6752710973
9	0.6602886056
10	0.6446722958
11	0.630325834
12	0.6172772237
13	0.6056563732
14	0.593080083
15	0.5824281917
16	0.5720092547
17	0.5636635015
18	0.5546566159
19	0.5459381024
20	0.5378720643
21	0.5318612789
22	0.5278050819
23	0.5232290457
24	0.5169737078
25	0.511782272
26	0.5079829415
27	0.5038312879
28	0.4991349441
29	0.4948935147
30	0.4917211934
31	0.4887796502
32	0.4855841329
33	0.48330185
34	0.4804729603
35	0.4783088121
36	0.4754869169
37	0.4724284396
38	0.4706348701
39	0.4694341828
40	0.4670427004
41	0.4651074971
42	0.4624253891
43	0.4609123091
44	0.4584802958
45	0.4568487617
46	0.4551586261
47	0.4536085185
48	0.4519206614
49	0.4501353951
50	0.4491152065
51	0.4476433907
52	0.4461226803
53	0.4448999361
54	0.4435728231
55	0.4427810344
56	0.4416160271
57	0.4406807981
58	0.4397705329
59	0.4383598543
60	0.4372199676
61	0.4359799274
62	0.4352455908
63	0.4341486524
64	0.4330190803
65	0.4322211563
66	0.4312340009
67	0.4302952727
68	0.4297637928
69	0.4287476026
70	0.4278785808
71	0.4270024947
72	0.4260362856
73	0.4254399933
74	0.4246930872
75	0.4239836266
76	0.4232254253
77	0.4224059727
78	0.421789927
79	0.4210930652
80	0.420332752
81	0.4194941536
82	0.4189746618
83	0.4182636001
84	0.4176103839
85	0.4171295122
86	0.4165338144
87	0.415851995
88	0.4149733572
89	0.4141760001
90	0.4135676251
91	0.4128534389
92	0.4123297255
93	0.4120490379
94	0.4116989941
95	0.4110134505
96	0.4103075497
97	0.4099726263
98	0.4096565236
99	0.4093394887
100	0.4089185382
101	0.4085220433
102	0.4081294765
103	0.4077821734
104	0.4072076882
105	0.4069082418
106	0.4065302838
107	0.40608911
108	0.4055107802
109	0.404981437
110	0.4046218174
111	0.4042044075
112	0.4038132771
113	0.4035316147
114	0.4031922858
115	0.4027598299
116	0.4024526402
117	0.4019691211
118	0.4015379181
119	0.4011494345
120	0.4007473666
121	0.4002822156
122	0.399979399
123	0.3994829297
124	0.3991176854
125	0.3988491272
126	0.3984723902
127	0.3981324718
128	0.3977826625
129	0.3975253117
130	0.3972368263
131	0.3968595157
132	0.3965417213
133	0.3962961596
134	0.3959924113
135	0.395631431
136	0.3951304751
137	0.3947224249
138	0.3945427033
139	0.3940863721
140	0.3937639595
141	0.3936293291
142	0.3932973055
143	0.3930700692
144	0.3927132217
145	0.3923312775
146	0.3919238008
147	0.3916030757
148	0.3915607818
149	0.3911886084
150	0.3909845093
151	0.3906968008
152	0.3906650269
153	0.3904200068
154	0.3901858855
155	0.3899158324
156	0.3895868702
157	0.3892534851
158	0.3892177295
159	0.3889488078
160	0.3886345722
161	0.3885290594
162	0.3884260731
163	0.3881465455
164	0.3879149811
165	0.3875972452
166	0.3875673338
167	0.387324631
168	0.3870054348
169	0.3868247204
170	0.3865920552
171	0.3863838583
172	0.3861159607
173	0.3858676439
174	0.38568974
175	0.3853997444
176	0.3853711536
177	0.385187425
178	0.3849165053
179	0.3846420941
180	0.384613463
181	0.3843351428
182	0.3841198374
183	0.383817067
184	0.3835579843
185	0.3835305643
186	0.3832562906
187	0.3830500849
188	0.3827923922
189	0.3827630362
190	0.3825356774
191	0.3823616773
192	0.3820688337
193	0.3817882542
194	0.3816137498
195	0.3813415718
196	0.3810739708
197	0.3809171107
198	0.3806629567
199	0.3805538556
200	0.3803678501
201	0.3803428462
202	0.3801076724
203	0.3798350389
204	0.379527924
205	0.3792951881
206	0.3791632846
207	0.3789552041
208	0.3788318375
209	0.3788070711
210	0.3785779865
211	0.3782418827
212	0.3781084743
213	0.3779113916
214	0.3777477337
