iter	Passed	Remaining
0	620	619717
1	1351	674505
2	1974	656232
3	2710	674961
4	3432	683163
5	4062	672968
6	4759	675223
7	5335	661567
8	5912	651064
9	6469	640481
10	7381	663663
11	8134	669715
12	8700	660578
13	9233	650286
14	9788	642780
15	10308	633998
16	10862	628088
17	11420	623042
18	11959	617489
19	12531	614028
20	13066	609166
21	13597	604457
22	14085	598315
23	14658	596128
24	15312	597173
25	15936	596988
26	16580	597500
27	17159	595692
28	17751	594361
29	18264	590564
30	18747	586008
31	19256	582519
32	19825	580934
33	20334	577750
34	20818	573990
35	21355	571856
36	21888	569681
37	22504	569714
38	23079	568704
39	23605	566541
40	24106	563852
41	24601	561141
42	25244	561834
43	25789	560330
44	26369	559623
45	26912	558151
46	27385	555278
47	27874	552837
48	28330	549837
49	28819	547572
50	29283	544896
51	29775	542829
52	30251	540527
53	30732	538380
54	31240	536761
55	31770	535560
56	32232	533241
57	32734	531657
58	33218	529803
59	33702	528010
60	34183	526202
61	34671	524542
62	35151	522805
63	35645	521320
64	36129	519715
65	36603	517989
66	37091	516518
67	37595	515273
68	38051	513414
69	38537	511998
70	39030	510690
71	39524	509428
72	40064	508770
73	40535	507244
74	41044	506215
75	41523	504835
76	42036	503888
77	42538	502831
78	43027	501619
79	43502	500281
80	44032	499576
81	44534	498569
82	45037	497584
83	45563	496857
84	46087	496117
85	46578	495027
86	47057	493837
87	47562	492917
88	48035	491694
89	48503	490422
90	48952	488986
91	49430	487852
92	49917	486825
93	50407	485843
94	50905	484939
95	51396	483987
96	51891	483068
97	52339	481739
98	52793	480477
99	53238	479146
100	53694	477933
101	54166	476877
102	54644	475881
103	55107	474775
104	55628	474164
105	56091	473071
106	56531	471802
107	56995	470736
108	57500	470023
109	57969	469022
110	58455	468169
111	58931	467241
112	59415	466383
113	59883	465413
114	60354	464464
115	60814	463444
116	61263	462355
117	61721	461343
118	62167	460247
119	62641	459373
120	63090	458317
121	63650	458075
122	64142	457338
123	64675	456898
124	65134	455944
125	65603	455061
126	66157	454766
127	66651	454066
128	67130	453262
129	67601	452408
130	68090	451685
131	68585	450998
132	69066	450229
133	69518	449277
134	69966	448305
135	70426	447416
136	70907	446665
137	71388	445921
138	71844	445024
139	72361	444507
140	72921	444249
141	73468	443915
142	73927	443048
143	74393	442225
144	74851	441365
145	75296	440434
146	75762	439627
147	76251	438961
148	76687	437992
149	77142	437140
150	77603	436327
151	78068	435541
152	78520	434683
153	78971	433830
154	79572	433798
155	80049	433087
156	80510	432294
157	81003	431678
158	81443	430779
159	81905	430002
160	82367	429233
161	82805	428338
162	83250	427490
163	83742	426883
164	84194	426075
165	84672	425404
166	85106	424514
167	85563	423744
168	86051	423126
169	86517	422410
170	87019	421864
171	87489	421168
172	87976	420558
173	88428	419780
174	88866	418942
175	89335	418252
176	89781	417459
177	90230	416683
178	90694	415978
179	91171	415335
180	91623	414583
181	92100	413944
182	92575	413302
183	93137	413046
184	93631	412484
185	94103	411828
186	94588	411231
187	95073	410635
188	95607	410252
189	96101	409695
190	96676	409484
191	97282	409399
192	97831	409067
193	98366	408677
194	98870	408156
195	99362	407589
196	99858	407038
197	100416	406738
198	100985	406480
199	101507	406029
200	102047	405650
201	102625	405420
202	103124	404878
203	103636	404386
204	104216	404157
205	104703	403567
206	105155	402840
207	105635	402229
208	106100	401559
209	106536	400780
210	107001	400115
211	107479	399499
212	107935	398805
213	108419	398214
214	108916	397672
215	109376	396995
216	109814	396243
217	110276	395580
218	110747	394947
219	111194	394234
220	111693	393705
221	112200	393206
222	112688	392640
223	113209	392191
224	113722	391709
225	114207	391135
226	114655	390435
227	115112	389765
228	115569	389101
229	116061	388555
230	116514	387878
231	116990	387277
232	117464	386675
233	117972	386182
234	118451	385597
235	118904	384929
236	119336	384191
237	119786	383518
238	120270	382954
239	120744	382358
240	121220	381767
241	121657	381059
242	122165	380572
243	122623	379931
244	123076	379276
245	123511	378569
246	123980	377963
247	124439	377334
248	124894	376690
249	125334	376002
250	125798	375390
251	126258	374768
252	126739	374206
253	127174	373513
254	127664	372979
255	128166	372484
256	128624	371859
257	129067	371195
258	129529	370584
259	129996	369990
260	130462	369393
261	130923	368785
262	131401	368223
263	131856	367599
264	132335	367044
265	132811	366479
266	133291	365926
267	133776	365388
268	134254	364832
269	134751	364328
270	135212	363726
271	135699	363196
272	136209	362726
273	136733	362295
274	137246	361832
275	137772	361403
276	138284	360936
277	138781	360431
278	139319	360032
279	139863	359649
280	140345	359104
281	140873	358677
282	141339	358093
283	141808	357517
284	142302	357003
285	142780	356451
286	143230	355830
287	143720	355309
